lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_at_minus_1v_a,current_at_0v_a,current_at_plus_1v_a,wavelength_start_nm,wavelength_stop_nm,point_count,il_min_db,il_max_db,il_mean_db,extinction_ratio_db,wavelength_at_min_il_nm,wavelength_at_max_il_nm,source_file
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,-2.0,3.847792e-08,1.17707e-10,0.006725123,1279.9823,1339.9924,6000,-44.08931350708008,-6.4340105056762695,-17.85514220046997,37.65530300140381,1336.4595,1302.0902,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,-1.5,3.847792e-08,1.17707e-10,0.006725123,1279.9826,1339.9912,6000,-44.05575942993164,-6.448244571685791,-17.860947281837465,37.60751485824585,1336.4287,1301.5829,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,-1.0,3.847792e-08,1.17707e-10,0.006725123,1279.983,1339.9934,6000,-43.94338607788086,-6.390260696411133,-17.84148821234703,37.55312538146973,1336.3263,1301.4496,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,-0.5,3.847792e-08,1.17707e-10,0.006725123,1279.983,1339.9934,6000,-43.940120697021484,-6.458221435546875,-17.842092587868372,37.48189926147461,1336.2578,1301.5824,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,0.0,3.847792e-08,1.17707e-10,0.006725123,1279.9828,1339.9934,6000,-43.86239242553711,-6.426197528839111,-17.84154571564992,37.436194896698,1336.1571,1301.429,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,-3,20190526_082853,MZMOTE_LULAB_380_500,0.5,3.847792e-08,1.17707e-10,0.006725123,1279.9836,1339.9939,6000,-43.945457458496094,-6.53144645690918,-17.880192608118058,37.414011001586914,1336.0753,1301.582,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,-2.0,5.937685e-08,1.225671e-10,0.006824251,1279.9821,1339.9896,6000,-44.46560287475586,-7.65479040145874,-18.669235438426334,36.81081247329712,1334.0052,1299.4143,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,-1.5,5.937685e-08,1.225671e-10,0.006824251,1279.9826,1339.9918,6000,-44.54907989501953,-7.70183801651001,-18.647528362989426,36.84724187850952,1333.9161,1299.4045,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,-1.0,5.937685e-08,1.225671e-10,0.006824251,1279.982,1339.9913,6000,-44.840675354003906,-7.734311103820801,-18.67886799677213,37.106364250183105,1333.8429,1298.8145,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,-0.5,5.937685e-08,1.225671e-10,0.006824251,1279.9826,1339.9909,6000,-44.6960334777832,-7.697438716888428,-18.676817254622776,36.998594760894775,1333.6853,1298.8141,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,0.0,5.937685e-08,1.225671e-10,0.006824251,1279.9826,1339.9899,6000,-44.67965316772461,-7.687614917755127,-18.71060153325399,36.99203824996948,1333.6234,1298.8141,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,-3,20190526_082853,MZMOTE_LULAB_380_500,0.5,5.937685e-08,1.225671e-10,0.006824251,1279.9834,1339.9928,6000,-44.916419982910156,-7.749718189239502,-18.73264257454872,37.166701793670654,1333.5331,1298.795,"data\HY202103\D08\20190526_082853\HY202103_D08_(-3,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,-2.0,7.64046e-08,1.268405e-10,0.006439532,1279.9827,1339.9922,6000,-43.22704315185547,-7.154494285583496,-18.17646907567978,36.07254886627197,1330.7362,1295.9674,"data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,-1.5,7.64046e-08,1.268405e-10,0.006439532,1279.9826,1339.9906,6000,-43.23302459716797,-7.147446632385254,-18.221495366573333,36.085577964782715,1330.6856,1295.9662,"data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,-1.0,7.64046e-08,1.268405e-10,0.006439532,1279.9823,1339.9896,6000,-43.14126968383789,-7.110574245452881,-18.199479671637217,36.03069543838501,1330.5328,1295.9675,"data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,-0.5,7.64046e-08,1.268405e-10,0.006439532,1279.983,1339.9893,6000,-43.179046630859375,-7.1097798347473145,-18.214119227488837,36.06926679611206,1330.4748,1295.9657,"data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,0.0,7.64046e-08,1.268405e-10,0.006439532,1279.9829,1339.9896,6000,-42.90795135498047,-7.127485275268555,-18.24137121407191,35.780466079711914,1330.3628,1295.9659,"data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,-4,20190526_082853,MZMOTE_LULAB_380_500,0.5,7.64046e-08,1.268405e-10,0.006439532,1279.9835,1339.9929,6000,-43.579254150390625,-7.090261459350586,-18.25600618672371,36.48899269104004,1339.9829,1295.9658,"data\HY202103\D08\20190526_082853\HY202103_D08_(-4,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-4,0,20190526_082853,MZMOTE_LULAB_380_500,-2.0,7.636219e-08,1.259606e-10,0.006464111,1279.9823,1339.9916,6000,-44.42722702026367,-7.34950065612793,-18.377134410858154,37.07772636413574,1334.1764,1299.3762,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,-4)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-4,0,20190526_082853,MZMOTE_LULAB_380_500,-1.5,7.636219e-08,1.259606e-10,0.006464111,1279.9823,1339.9899,6000,-44.17960739135742,-7.4198737144470215,-18.37140135359764,36.7597336769104,1334.0531,1299.3758,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,-4)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-4,0,20190526_082853,MZMOTE_LULAB_380_500,-1.0,7.636219e-08,1.259606e-10,0.006464111,1279.9831,1339.9903,6000,-44.24393081665039,-7.390334606170654,-18.369972290118536,36.853596210479736,1333.9572,1299.3757,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,-4)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-4,0,20190526_082853,MZMOTE_LULAB_380_500,-0.5,7.636219e-08,1.259606e-10,0.006464111,1279.9834,1339.9929,6000,-44.21487808227539,-7.460263252258301,-18.381973512093225,36.75461483001709,1333.8636,1299.3539,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,-4)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-4,0,20190526_082853,MZMOTE_LULAB_380_500,0.0,7.636219e-08,1.259606e-10,0.006464111,1279.9833,1339.9922,6000,-44.03996658325195,-7.4580230712890625,-18.410216736475626,36.58194351196289,1333.7828,1298.7751,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,-4)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-4,0,20190526_082853,MZMOTE_LULAB_380_500,0.5,7.636219e-08,1.259606e-10,0.006464111,1279.9833,1339.9923,6000,-44.192108154296875,-7.4745588302612305,-18.436884860833487,36.717549324035645,1333.6447,1298.775,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,-4)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,0,20190526_082853,MZMOTE_LULAB_380_500,-2.0,7.203803e-08,1.206398e-10,0.006919174,1279.9823,1339.9916,6000,-41.577781677246094,-6.276168346405029,-16.170292947848637,35.301613330841064,1332.9803,1307.5512,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,0,20190526_082853,MZMOTE_LULAB_380_500,-1.5,7.203803e-08,1.206398e-10,0.006919174,1279.9828,1339.994,6000,-41.550662994384766,-6.243986129760742,-16.18644221162796,35.30667686462402,1332.8459,1307.5608,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,0,20190526_082853,MZMOTE_LULAB_380_500,-1.0,7.203803e-08,1.206398e-10,0.006919174,1279.9829,1339.9923,6000,-41.86113357543945,-6.248448371887207,-16.22637413787842,35.612685203552246,1332.7972,1307.5596,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,0,20190526_082853,MZMOTE_LULAB_380_500,-0.5,7.203803e-08,1.206398e-10,0.006919174,1279.9831,1339.9929,6000,-41.436492919921875,-6.261122703552246,-16.215612859805425,35.17537021636963,1332.7476,1307.5505,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,0,20190526_082853,MZMOTE_LULAB_380_500,0.0,7.203803e-08,1.206398e-10,0.006919174,1279.982,1339.9922,6000,-41.447021484375,-6.270395755767822,-16.235757036844888,35.17662572860718,1332.6288,1307.55,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,0,0,20190526_082853,MZMOTE_LULAB_380_500,0.5,7.203803e-08,1.206398e-10,0.006919174,1279.9834,1339.9937,6000,-41.57194137573242,-6.306436061859131,-16.253345587730408,35.26550531387329,1332.4969,1307.5504,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,0)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,0,20190526_082853,MZMOTE_LULAB_380_500,-2.0,3.444476e-08,1.060171e-10,0.006729574,1279.9831,1339.9916,6000,-43.348690032958984,-6.026456832885742,-16.92942996676763,37.32223320007324,1333.4291,1298.7283,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,0,20190526_082853,MZMOTE_LULAB_380_500,-1.5,3.444476e-08,1.060171e-10,0.006729574,1279.9827,1339.9912,6000,-43.263240814208984,-6.046235084533691,-16.946089587847393,37.21700572967529,1333.3156,1298.0727,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,0,20190526_082853,MZMOTE_LULAB_380_500,-1.0,3.444476e-08,1.060171e-10,0.006729574,1279.983,1339.9903,6000,-43.25045394897461,-6.034547328948975,-16.975141970078152,37.215906620025635,1333.2476,1298.0708,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,0,20190526_082853,MZMOTE_LULAB_380_500,-0.5,3.444476e-08,1.060171e-10,0.006729574,1279.9833,1339.9925,6000,-43.26762008666992,-6.052872180938721,-17.003866343180338,37.2147479057312,1333.178,1298.0512,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,0,20190526_082853,MZMOTE_LULAB_380_500,0.0,3.444476e-08,1.060171e-10,0.006729574,1279.9831,1339.9899,6000,-43.22146224975586,-6.058132171630859,-16.98281270837784,37.163330078125,1333.0258,1298.0506,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,2,0,20190526_082853,MZMOTE_LULAB_380_500,0.5,3.444476e-08,1.060171e-10,0.006729574,1279.9834,1339.9915,6000,-43.088504791259766,-6.059576988220215,-16.989979690154392,37.02892780303955,1332.9078,1298.0703,"data\HY202103\D08\20190526_082853\HY202103_D08_(0,2)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,2,20190526_082853,MZMOTE_LULAB_380_500,-2.0,3.536833e-08,1.062266e-10,0.00634805,1279.9826,1339.9925,6000,-42.64862823486328,-6.27847146987915,-16.343098958651225,36.37015676498413,1332.3129,1306.9349,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,2,20190526_082853,MZMOTE_LULAB_380_500,-1.5,3.536833e-08,1.062266e-10,0.00634805,1279.9831,1339.993,6000,-42.45542526245117,-6.30547571182251,-16.365623666206996,36.14994955062866,1332.2384,1307.0861,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,2,20190526_082853,MZMOTE_LULAB_380_500,-1.0,3.536833e-08,1.062266e-10,0.00634805,1279.9824,1339.9907,6000,-42.33622741699219,-6.274596691131592,-16.3591935078303,36.061630725860596,1332.1476,1306.9329,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,2,20190526_082853,MZMOTE_LULAB_380_500,-0.5,3.536833e-08,1.062266e-10,0.00634805,1279.9827,1339.9909,6000,-42.35163497924805,-6.265622138977051,-16.393242972056072,36.086012840270996,1332.0837,1306.9708,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,2,20190526_082853,MZMOTE_LULAB_380_500,0.0,3.536833e-08,1.062266e-10,0.00634805,1279.9828,1339.9932,6000,-42.25761032104492,-6.305497646331787,-16.366086860259372,35.952112674713135,1331.9469,1306.8353,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-1,2,20190526_082853,MZMOTE_LULAB_380_500,0.5,3.536833e-08,1.062266e-10,0.00634805,1279.9826,1339.9918,6000,-42.5373420715332,-6.303501129150391,-16.395217502673468,36.23384094238281,1331.8518,1306.932,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-1)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,2,20190526_082853,MZMOTE_LULAB_380_500,-2.0,6.346043e-08,1.230279e-10,0.006409498,1279.9824,1339.9932,6000,-43.918827056884766,-6.962265491485596,-17.639626170078913,36.95656156539917,1335.2699,1300.7325,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,2,20190526_082853,MZMOTE_LULAB_380_500,-1.5,6.346043e-08,1.230279e-10,0.006409498,1279.9822,1339.9926,6000,-44.0142936706543,-6.9868927001953125,-17.659244941870373,37.027400970458984,1335.1807,1300.1826,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-3)_LION1_DCM_LMZO.xml"
HY202103,D08,DCM_LMZO,-3,2,20190526_082853,MZMOTE_LULAB_380_500,-1.0,6.346043e-08,1.230279e-10,0.006409498,1279.9817,1339.9902,6000,-44.086605072021484,-6.972159385681152,-17.65324251826604,37.11444568634033,1335.18,1300.1042,"data\HY202103\D08\20190526_082853\HY202103_D08_(2,-3)_LION1_DCM_LMZO.xml"
