lot,wafer,test_site,die_column,die_row,timestamp,device_name,dc_bias_v,current_a,extinction_ratio_db,vpi_at_dc_bias_v,source_file
HY202103,D07,DCM_LMZC,-4,-1,20190715_190855,MZMCTE_LULAB_450_500,-0.5,4.214233e-08,45.79862689971924,9.21297,"data\HY202103\D07\20190715_190855\HY202103_D07_(-4,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-4,-1,20190715_190855,MZMCTE_LULAB_450_500,0.0,3.111623e-11,45.15810489654541,8.83677,"data\HY202103\D07\20190715_190855\HY202103_D07_(-4,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,-4,-1,20190715_190855,MZMCTE_LULAB_450_500,0.5,4.978043e-08,43.751864433288574,8.53281,"data\HY202103\D07\20190715_190855\HY202103_D07_(-4,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-4,20190715_190855,MZMCTE_LULAB_450_500,-2.0,1.09973e-07,36.65419960021973,13.8981,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-4,20190715_190855,MZMCTE_LULAB_450_500,-1.5,9.201064e-08,38.178847312927246,12.9372,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-4,20190715_190855,MZMCTE_LULAB_450_500,-1.0,6.760271e-08,38.43861484527588,12.1239,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-4,20190715_190855,MZMCTE_LULAB_450_500,-0.5,3.682563e-08,39.82866954803467,11.4232,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-4,20190715_190855,MZMCTE_LULAB_450_500,0.0,3.30305e-11,36.71238708496094,10.8111,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,-4,20190715_190855,MZMCTE_LULAB_450_500,0.5,4.403483e-08,39.5634880065918,10.2702,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,-4)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,-2.0,1.066845e-08,40.54847240447998,22.4162,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,-1.5,1.010694e-08,40.22176456451416,18.8959,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,-1.0,8.955287e-09,40.3656702041626,16.6077,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,-0.5,6.337527e-09,41.23179244995117,15.007,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,0.0,3.498644e-11,42.142868995666504,13.8294,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,0,20190715_190855,MZMCTE_LULAB_450_500,0.5,1.454869e-08,41.13189125061035,12.9311,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,0)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,2,20190715_190855,MZMCTE_LULAB_450_500,-2.0,5.963477e-08,39.05101299285889,19.7407,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,2,20190715_190855,MZMCTE_LULAB_450_500,-1.5,5.288802e-08,42.31463146209717,17.0062,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,2,20190715_190855,MZMCTE_LULAB_450_500,-1.0,4.150557e-08,46.54119300842285,15.1529,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,2,20190715_190855,MZMCTE_LULAB_450_500,-0.5,2.397636e-08,46.267398834228516,13.8317,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,2,20190715_190855,MZMCTE_LULAB_450_500,0.0,2.928517e-11,47.91763210296631,12.8629,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,0,2,20190715_190855,MZMCTE_LULAB_450_500,0.5,3.164393e-08,48.29451084136963,12.1443,"data\HY202103\D07\20190715_190855\HY202103_D07_(0,2)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,-1,20190715_190855,MZMCTE_LULAB_450_500,-2.0,6.834238e-08,44.46253681182861,19.4401,"data\HY202103\D07\20190715_190855\HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,-1,20190715_190855,MZMCTE_LULAB_450_500,-1.5,5.986696e-08,45.17881774902344,17.1967,"data\HY202103\D07\20190715_190855\HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,-1,20190715_190855,MZMCTE_LULAB_450_500,-1.0,4.594612e-08,44.12228584289551,15.4937,"data\HY202103\D07\20190715_190855\HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,-1,20190715_190855,MZMCTE_LULAB_450_500,-0.5,2.588415e-08,45.72494125366211,14.1378,"data\HY202103\D07\20190715_190855\HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml"
HY202103,D07,DCM_LMZC,2,-1,20190715_190855,MZMCTE_LULAB_450_500,0.0,2.603921e-11,45.037787437438965,13.0231,"data\HY202103\D07\20190715_190855\HY202103_D07_(2,-1)_LION1_DCM_LMZC.xml"
