Lot,Wafer,Mask,Name,Row,Column,I at -1V [A],I at 1V [A]
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,4.814727e-08,0.006532866
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,6.663287e-08,0.006519705
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-4,,7.783068e-08,0.006401758
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,0,,6.760271e-08,0.006039913
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,0,,8.955287e-09,0.006707282
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,0,,4.150557e-08,0.006591849
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,2,,4.594612e-08,0.006384568
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,2,,6.184592e-08,0.006069297
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,2,,4.804727e-08,0.006130083
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,3,,4.971618e-08,0.005950628
P184640,D08,GORILLA5,MZMOTE_LULAB_380_500,-1,,5.312546e-08,0.006792969
P184640,D08,GORILLA5,MZMOTE_LULAB_380_500,-1,,6.287032e-08,0.006482825
P184640,D08,GORILLA5,MZMOTE_LULAB_380_500,-1,,5.356805e-08,0.006656053
P184640,D08,GORILLA5,MZMOTE_LULAB_380_500,-3,,6.76181e-08,0.006389174
P184640,D08,GORILLA5,MZMOTE_LULAB_380_500,-3,,3.847792e-08,0.006725123
P184640,D08,GORILLA5,MZMOTE_LULAB_380_500,-3,,5.937685e-08,0.006824251
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,4.814727e-08,0.006532866
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-3,,6.663287e-08,0.006519705
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-4,,7.783068e-08,0.006401758
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,0,,6.760271e-08,0.006039913
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,0,,8.955287e-09,0.006707282
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
P184640,D07,GORILLA5,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.890819e-08,0.006328398
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,4.591942e-08,0.006375596
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,5.465495e-08,0.006316235
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,4.814727e-08,0.006532866
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-3,,6.663287e-08,0.006519705
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-4,,7.783068e-08,0.006401758
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,6.760271e-08,0.006039913
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,8.955287e-09,0.006707282
HY202103,D07,LION1,MZMCTE_LULAB_450_500,0,,4.150557e-08,0.006591849
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.594612e-08,0.006384568
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,6.184592e-08,0.006069297
HY202103,D07,LION1,MZMCTE_LULAB_450_500,2,,4.804727e-08,0.006130083
HY202103,D07,LION1,MZMCTE_LULAB_450_500,3,,4.971618e-08,0.005950628
HY202103,D08,LION1,MZMOTE_LULAB_380_500,-1,,5.312546e-08,0.006792969
HY202103,D07,LION1,MZMCTE_LULAB_450_500,-1,,2.603237e-08,0.006701705
